Imagen	Pes	Vta
OPMM_Subasta_2025-05-30_04_55_15.945_Imedea.jpg	003.15	0303
OPMM_Subasta_2025-05-30_04_55_36.146_Imedea.jpg	003.80	0308
OPMM_Subasta_2025-05-30_04_55_39.346_Imedea.jpg	003.95	0309
OPMM_Subasta_2025-05-30_04_55_47.646_Imedea.jpg	003.00	0311
OPMM_Subasta_2025-05-30_04_56_04.746_Imedea.jpg	003.55	0315
OPMM_Subasta_2025-05-30_04_56_32.546_Imedea.jpg	003.90	0322
OPMM_Subasta_2025-05-30_04_56_38.946_Imedea.jpg	002.85	0324
OPMM_Subasta_2025-05-30_04_56_43.346_Imedea.jpg	002.55	0325
OPMM_Subasta_2025-05-30_04_57_01.246_Imedea.jpg	004.05	0330
OPMM_Subasta_2025-05-30_04_57_07.846_Imedea.jpg	003.80	0331
OPMM_Subasta_2025-05-30_04_57_22.647_Imedea.jpg	004.55	0335
OPMM_Subasta_2025-05-30_04_57_26.947_Imedea.jpg	003.15	0336
OPMM_Subasta_2025-05-30_04_57_32.147_Imedea.jpg	003.60	0337
OPMM_Subasta_2025-05-30_04_57_34.347_Imedea.jpg	002.95	0338
OPMM_Subasta_2025-05-30_04_57_38.647_Imedea.jpg	003.70	0339
OPMM_Subasta_2025-05-30_05_13_12.855_Imedea.jpg	002.65	0483
OPMM_Subasta_2025-05-30_05_13_15.955_Imedea.jpg	003.20	0484
OPMM_Subasta_2025-05-30_05_13_34.155_Imedea.jpg	003.25	0489
OPMM_Subasta_2025-05-30_05_13_40.455_Imedea.jpg	002.15	0491
OPMM_Subasta_2025-05-30_05_13_44.855_Imedea.jpg	002.70	0492
OPMM_Subasta_2025-05-30_05_15_08.456_Imedea.jpg	002.70	0507
OPMM_Subasta_2025-05-30_05_15_44.556_Imedea.jpg	003.20	0510
OPMM_Subasta_2025-05-30_05_17_24.357_Imedea.jpg	002.15	0535
OPMM_Subasta_2025-05-30_05_17_39.257_Imedea.jpg	003.05	0539
OPMM_Subasta_2025-05-30_05_17_42.457_Imedea.jpg	003.15	0540
OPMM_Subasta_2025-05-30_05_17_49.958_Imedea.jpg	002.90	0541
OPMM_Subasta_2025-05-30_05_17_52.158_Imedea.jpg	001.95	0542
OPMM_Subasta_2025-05-30_05_18_05.858_Imedea.jpg	003.00	0545
OPMM_Subasta_2025-05-30_05_18_13.258_Imedea.jpg	002.20	0547
OPMM_Subasta_2025-05-30_05_18_46.058_Imedea.jpg	003.15	0548
OPMM_Subasta_2025-05-30_05_19_01.858_Imedea.jpg	002.55	0552
OPMM_Subasta_2025-05-30_05_19_05.158_Imedea.jpg	002.60	0553
OPMM_Subasta_2025-05-30_05_19_08.258_Imedea.jpg	002.25	0554
OPMM_Subasta_2025-05-30_05_19_19.958_Imedea.jpg	002.00	0557
OPMM_Subasta_2025-05-30_05_29_40.364_Imedea.jpg	003.15	0670
OPMM_Subasta_2025-05-30_05_30_00.664_Imedea.jpg	002.70	0675
OPMM_Subasta_2025-05-30_05_30_03.864_Imedea.jpg	003.20	0676
OPMM_Subasta_2025-05-30_05_30_09.164_Imedea.jpg	002.15	0677
OPMM_Subasta_2025-05-30_05_30_19.664_Imedea.jpg	002.70	0680
OPMM_Subasta_2025-05-30_05_30_28.064_Imedea.jpg	002.55	0682
OPMM_Subasta_2025-05-30_05_30_33.364_Imedea.jpg	002.95	0683
OPMM_Subasta_2025-05-30_05_38_03.968_Imedea.jpg	001.65	0769
OPMM_Subasta_2025-05-30_05_57_44.377_Imedea.jpg	003.50	0944
OPMM_Subasta_2025-05-30_05_57_47.577_Imedea.jpg	003.35	0945
OPMM_Subasta_2025-05-30_05_57_52.877_Imedea.jpg	000.95	0946
OPMM_Subasta_2025-05-30_05_58_00.277_Imedea.jpg	003.30	0948
OPMM_Subasta_2025-05-30_05_59_23.577_Imedea.jpg	003.80	0966
OPMM_Subasta_2025-05-30_05_59_33.177_Imedea.jpg	002.30	0968
OPMM_Subasta_2025-05-30_05_59_39.777_Imedea.jpg	003.00	0969
OPMM_Subasta_2025-05-30_06_00_03.978_Imedea.jpg	001.45	0974
