Imagen,Num_ID_0_2,Num_ID_2,Area_media_2,Peso_Medio_2,Pes,Vta,num_gambas
OPMM_Subasta_2025-05-30_04_55_15.945_Imedea,97,7,1679.5,19.512908429878415,3.15,0303,161.4315985400044
OPMM_Subasta_2025-05-30_04_55_36.146_Imedea,78,7,1551.2857142857142,16.89291813541102,3.8,0308,224.94633369674722
OPMM_Subasta_2025-05-30_04_55_39.346_Imedea,95,7,1536.357142857143,16.832263945246446,3.95,0309,234.66837336016874
OPMM_Subasta_2025-05-30_04_55_47.646_Imedea,106,10,1348.1,13.736036998467778,3.0,0311,218.40360508162894
OPMM_Subasta_2025-05-30_04_56_04.746_Imedea,97,11,1321.7727272727273,13.408487580062284,3.55,0315,264.7576752264486
OPMM_Subasta_2025-05-30_04_56_32.546_Imedea,77,6,1508.6666666666667,16.259507724916215,3.9,0322,239.85966032806792
OPMM_Subasta_2025-05-30_04_56_38.946_Imedea,75,6,2060.0833333333335,25.82097038997401,2.85,0324,110.37540251030313
OPMM_Subasta_2025-05-30_04_57_01.246_Imedea,102,11,1446.0,15.228422061241146,4.05,0330,265.9500757014031
OPMM_Subasta_2025-05-30_04_57_07.846_Imedea,99,5,1669.2,19.115224019277388,3.8,0331,198.79442669192693
OPMM_Subasta_2025-05-30_04_57_22.647_Imedea,135,18,1014.5277777777778,8.968103769325749,4.55,0335,507.3536298233627
OPMM_Subasta_2025-05-30_04_57_26.947_Imedea,121,11,1087.2727272727273,10.084093227099286,3.15,0336,312.37315334758216
OPMM_Subasta_2025-05-30_04_57_32.147_Imedea,104,5,1299.4,13.182768272485049,3.6,0337,273.0837655330623
OPMM_Subasta_2025-05-30_04_57_34.347_Imedea,91,5,1489.7,16.183843688940257,2.95,0338,182.2805544035238
OPMM_Subasta_2025-05-30_04_57_38.647_Imedea,99,9,1475.8333333333333,15.902011547146328,3.7,0339,232.67496624752346
OPMM_Subasta_2025-05-30_05_13_12.855_Imedea,84,9,1828.6666666666667,21.65896814672276,2.65,0483,122.3511656718039
OPMM_Subasta_2025-05-30_05_13_15.955_Imedea,38,1,2973.5,44.43400307139599,3.2,0484,72.01691899913408
OPMM_Subasta_2025-05-30_05_13_34.155_Imedea,102,14,1418.9285714285713,14.970764243298877,3.25,0489,217.08978561029343
OPMM_Subasta_2025-05-30_05_13_40.455_Imedea,51,9,2767.3888888888887,40.148839389593284,2.15,0491,53.550738519163446
OPMM_Subasta_2025-05-30_05_13_44.855_Imedea,79,5,1568.8,17.18874376859173,2.7,0492,157.07954207413323
OPMM_Subasta_2025-05-30_05_15_08.456_Imedea,51,6,2571.9166666666665,35.850159239915335,2.7,0507,75.31347300108608
OPMM_Subasta_2025-05-30_05_15_44.556_Imedea,77,9,1855.6666666666667,22.140181488442344,3.2,0510,144.53359389445248
OPMM_Subasta_2025-05-30_05_17_24.357_Imedea,80,12,1557.7916666666667,17.13754701112121,2.15,0535,125.45552748037876
OPMM_Subasta_2025-05-30_05_17_39.257_Imedea,112,8,1274.375,12.586913755102394,3.05,0539,242.31515837340288
OPMM_Subasta_2025-05-30_05_17_42.457_Imedea,106,7,1425.2142857142858,14.89866828730088,3.15,0540,211.4282927343884
OPMM_Subasta_2025-05-30_05_17_49.958_Imedea,101,18,1377.9722222222222,14.235541997677652,2.9,0541,203.7154609549182
OPMM_Subasta_2025-05-30_05_17_52.158_Imedea,74,11,1843.409090909091,22.013868082371445,1.95,0542,88.58052536262569
OPMM_Subasta_2025-05-30_05_18_05.858_Imedea,104,11,1421.2272727272727,14.816454405246805,3.0,0545,202.4775913283032
OPMM_Subasta_2025-05-30_05_18_13.258_Imedea,58,9,2847.8333333333335,42.887311945042,2.2,0547,51.29722289005179
OPMM_Subasta_2025-05-30_05_18_46.058_Imedea,79,9,1907.7777777777778,22.994396613680742,3.15,0548,136.98989596995455
OPMM_Subasta_2025-05-30_05_19_01.858_Imedea,85,13,1667.3461538461538,19.028716552500832,2.55,0552,134.0079869792831
OPMM_Subasta_2025-05-30_05_19_05.158_Imedea,54,4,1684.75,19.509349324471906,2.6,0553,133.26943696367377
OPMM_Subasta_2025-05-30_05_19_08.258_Imedea,75,11,1313.090909090909,13.524576679572254,2.25,0554,166.36380223260056
OPMM_Subasta_2025-05-30_05_19_19.958_Imedea,86,12,1459.8333333333333,15.679716247314312,2.0,0557,127.55332867344258
OPMM_Subasta_2025-05-30_05_29_40.364_Imedea,127,15,1242.3,12.332706203881378,3.15,0670,255.41839300514795
OPMM_Subasta_2025-05-30_05_30_00.664_Imedea,107,13,1106.3461538461538,10.264521870980122,2.7,0675,263.04196473422166
OPMM_Subasta_2025-05-30_05_30_03.864_Imedea,105,8,1174.625,11.145205328240678,3.2,0676,287.11898127992004
OPMM_Subasta_2025-05-30_05_30_09.164_Imedea,59,9,2852.1666666666665,42.73288586001371,2.15,0677,50.312539317917015
OPMM_Subasta_2025-05-30_05_30_19.664_Imedea,113,17,1202.5882352941176,11.721189375578735,2.7,0680,230.35204990591558
OPMM_Subasta_2025-05-30_05_30_28.064_Imedea,94,8,1508.8125,16.21823738471684,2.55,0682,157.2304030031634
OPMM_Subasta_2025-05-30_05_30_33.364_Imedea,110,12,1151.9583333333333,10.900387635413425,2.95,0683,270.6325773604577
OPMM_Subasta_2025-05-30_05_38_03.968_Imedea,93,16,1373.8125,14.238066058750022,1.65,0769,115.8865251215765
OPMM_Subasta_2025-05-30_05_57_44.377_Imedea,125,11,1510.6363636363637,16.52189101842477,3.5,0944,211.84015776988804
OPMM_Subasta_2025-05-30_05_57_47.577_Imedea,116,14,1464.6785714285713,15.712330296548117,3.35,0945,213.20834890646174
OPMM_Subasta_2025-05-30_05_57_52.877_Imedea,38,21,2800.1666666666665,40.80307730111894,0.95,0946,23.282557660766145
OPMM_Subasta_2025-05-30_05_58_00.277_Imedea,108,6,1338.0833333333333,13.525277195031995,3.3,0948,243.98760575584592
OPMM_Subasta_2025-05-30_05_59_23.577_Imedea,119,13,1322.923076923077,13.347390353574907,3.8,0966,284.6998476359256
OPMM_Subasta_2025-05-30_05_59_33.177_Imedea,117,10,1398.3,14.540463914306182,2.3,0968,158.17927224021088
OPMM_Subasta_2025-05-30_05_59_39.777_Imedea,104,12,1679.5416666666667,20.15426634692313,3.0,0969,148.8518583787595
OPMM_Subasta_2025-05-30_06_00_03.978_Imedea,65,4,2254.125,29.401310999675896,1.45,0974,49.31752873251073
OPMM_Subasta_2025-05-30_06_00_05.978_Imedea,146,6,1093.25,10.007460411649634,3.2,0975,319.76144479921163
OPMM_Subasta_2025-05-30_06_00_09.178_Imedea,99,6,1286.5833333333333,12.830807940422202,1.4,0976,109.11238064669624
OPMM_Subasta_2025-05-30_06_00_17.678_Imedea,104,7,1725.5714285714287,19.808970431662004,1.5,0978,75.72326917114529
OPMM_Subasta_2025-05-30_06_00_21.978_Imedea,66,7,2327.214285714286,30.946037106776316,1.5,0979,48.47147293284742
OPMM_Subasta_2025-05-30_06_00_36.778_Imedea,67,8,1997.6875,24.94212397381925,1.4,0982,56.12994312230682
OPMM_Subasta_2025-05-30_06_00_39.878_Imedea,130,17,1056.1470588235295,9.62982195898696,3.7,0983,384.2230952719746
OPMM_Subasta_2025-05-30_06_00_44.178_Imedea,94,5,1799.5,21.588553355066004,1.45,0984,67.16522298423209
OPMM_Subasta_2025-05-30_06_00_48.478_Imedea,74,11,2104.8636363636365,26.623867745290042,1.45,0985,54.46240996507788
OPMM_Subasta_2025-05-30_06_02_26.879_Imedea,54,26,3147.3653846153848,48.65946374441468,1.45,0990,29.798930946221873
OPMM_Subasta_2025-05-30_06_02_32.179_Imedea,39,25,2160.98,27.90989215362284,0.8,0991,28.663672206134127
OPMM_Subasta_2025-05-30_06_02_35.279_Imedea,61,11,2104.681818181818,26.623892482502605,1.5,0992,56.340371753897735
OPMM_Subasta_2025-05-30_06_02_41.579_Imedea,141,12,1106.2083333333333,10.290368789345349,3.7,0993,359.55951392441654
OPMM_Subasta_2025-05-30_06_02_46.979_Imedea,61,18,1754.5833333333333,20.4371765473166,1.05,0994,51.37695990290131
OPMM_Subasta_2025-05-30_06_02_53.479_Imedea,61,14,2131.0,27.200141492587928,1.4,0995,51.47032049011589
OPMM_Subasta_2025-05-30_06_03_07.279_Imedea,91,19,1771.9473684210527,20.654508600693234,1.65,0999,79.88570592014086
OPMM_Subasta_2025-05-30_06_03_11.479_Imedea,70,10,2484.05,34.419441776991206,1.4,1000,40.67468639005863
OPMM_Subasta_2025-05-30_06_16_49.485_Imedea,58,14,2269.6428571428573,30.225301635639514,1.55,1111,51.28153950901687
OPMM_Subasta_2025-05-30_06_17_35.986_Imedea,73,20,1427.9,15.36414931891991,1.2,1120,78.10390117221012
OPMM_Subasta_2025-05-30_06_17_41.386_Imedea,27,12,3028.3333333333335,46.294380139924336,0.95,1121,20.520849336974248
OPMM_Subasta_2025-05-30_06_20_54.788_Imedea,63,9,3265.4444444444443,51.444228635475355,2.3,1151,44.70861087834343
OPMM_Subasta_2025-05-30_06_20_57.988_Imedea,121,11,1338.090909090909,13.730363263247698,3.15,1152,229.41854775478953
OPMM_Subasta_2025-05-30_06_21_11.688_Imedea,98,10,1442.95,15.237329489542926,3.2,1156,210.0105535025738
